details;stocks_debut;initial;Initial;Stock initial;Stock initial
details;stocks_debut;instance;En instance de revendication;Vin en instance de revendication;Vin en instance de revendication
details;entrees;recolte;Récolte;Récolte;Récolte
details;entrees;revendication;Revendiqué à l'ODG;Revendication de récolte;Revendication de récolte
details;entrees;repli;Issu d'un repli;Repli;Repli
details;entrees;declassement;Issu d'un déclassement;Déclassement;Déclassement
details;entrees;transfertsrecolte;Transfert de produit;Transfert de recolte;Transfert de recolte
details;entrees;retourembouteillage;Retour conditionnmt;Retour de conditionnement;Retour d'embouteillage
details;entrees;transfertcomptamatierecession;Retour logement ext.;Retour de logement externe;Retour de logement externe
details;entrees;travailafacon;Retour Travail à façon;Retour de travail à façon;Retour de travail à façon, distillation à façon
details;entrees;retourmarchandisetaxees;Retour de vin sous CRD;Retour de marchandises ayant déjà été taxées;Retour de marchandises ayant déjà été taxées
details;entrees;retourmarchandisenontaxees;Retour de vin hors CRD;Retour de marchandises non taxées;Retour de marchandises non taxées
details;entrees;achatcrd;Achat sous CRD;Achat de vin en CRD;Achat de vin en CRD
details;entrees;achatnoncrd;Achat hors CRD;Achat de vin non CRD;Achat de vin non CRD
details;entrees;regularisation;Excédent constaté;Régularisation;Régularisation
details;sorties;consommationfamilialedegustation;Consommation familiale / Dégustation;Consommation familiale / Dégustation;Consommation familiale / Dégustation
details;sorties;ventefrancecrd;Vente sous CRD;Ventes en France de Bouteilles sous CRD;Ventes en France de Bouteilles sous CRD
details;sorties;vracsanscontratacquitte;Vente sous DSA;Sortie de vrac sans contrat (acquitté);Sortie de vrac sans contrat (acquitté)
details;sorties;vrac;Vrac sous contrat;Contrat de vin en vrac ou conditionné;Contrat de vin en vrac ou conditionné
details;sorties;vracsanscontratsuspendu;Vrac hors contrat;Contrats hors interpro;Contrats hors interpro
details;sorties;export;Export;Export;Export
details;sorties;repli;Repli;Repli;Repli
details;sorties;declassement;Déclassement;Déclassement;Déclassement
details;sorties;transfertsrecolte;Transfert de produit;Transfert de récolte;Transfert de récolte
details;sorties;embouteillage;Conditionnement;Conditionnement;Conditionnement
details;sorties;transfertcomptamatiere;Logement externe;Transferts internes d'un chai à un autre;Transferts internes d'un chai à un autre
details;sorties;travailafacon;Travail à façon;Sortie de travail à façon, distillation à façon;Sortie d'embouteillage, relogement, travail à façon, distillation à façon
details;sorties;distillationusageindustriel;Usages industriel;Distillation et usages industriels;Distillation et usages industriels
details;sorties;destructionperte;Destruction/perte;Destruction et pertes;Destruction et pertes
details;sorties;manquant;Manquant;Manquant;Manquant
details;sorties;cession;Cession d'exploitation;Cession d'activité;Cession d'activité
details;sorties;apportgroupement;Apport à groupement;Apport à un groupement;Apport à un groupement
details;stocks_fin;final;Final;Final;Stock final
details;stocks_fin;instance;En instance de revendication;En instance de revendication;En instance de revendication
detailsACQUITTE;stocks_debut;initial;Initial;Stock début de mois;A remplir uniquement sur la 1ère DRM de campagne. En août, indiquer le stock réel constaté par inventaire et identique à la Déclaration de Stocks. Pour tous les mois suivants de la campagne, le stock est automatiquement repris du mois précédent.
detailsACQUITTE;stocks_debut;instance;En instance;En instance de revendication;Stock début En instance de revendication
detailsACQUITTE;entrees;achat;Achats;Achats de produit;Indiquer les achats du produit.
detailsACQUITTE;entrees;autre;Autres;Autres entrées;Autres entrées du produit. Ex : correspondant à une sortie de produits en droits suspendus pour lesquels les droits ont été payés.
detailsACQUITTE;sorties;vente;Ventes de produits ;Ventes de produits ;Indiquer les ventes du produit.
detailsACQUITTE;sorties;replacementsuspension;Replacement en suspension;Replacement en suspension;Indiquer le replacement en suspension du produit.
detailsACQUITTE;sorties;autre;Autres;Indiquer les autres sorties du produit.;Indiquer les volumes commercialisés à l'export.
detailsACQUITTE;stocks_fin;final;Final;Stock fin de mois;Calcul automatique: cette case ne peut être modifiée.
detailsACQUITTE;stocks_fin;instance;En instance;En instance de revendication;Stock fin En instance de revendication
